country_code,top_level_domain
AF,af
AX,ax
AL,al
DZ,dz
AS,as
AD,ad
AO,ao
AI,ai
AQ,aq
AG,ag
AR,ar
AM,am
AW,aw
AU,au
AT,at
AZ,az
BS,bs
BH,bh
BD,bd
BB,bb
BY,by
BE,be
BZ,bz
BJ,bj
BM,bm
BT,bt
BO,bo
BQ,bq
BQ,nl
BA,ba
BW,bw
BR,br
IO,io
BN,bn
BG,bg
BF,bf
BI,bi
CV,cv
KH,kh
CM,cm
CA,ca
KY,ky
CF,cf
TD,td
CL,cl
CN,cn
CX,cx
CC,cc
CO,co
KM,km
CD,cd
CG,cg
CK,ck
CR,cr
CI,ci
HR,hr
CU,cu
CW,cw
CY,cy
CZ,cz
DK,dk
DJ,dj
DM,dm
DO,do
EC,ec
EG,eg
SV,sv
GQ,gq
ER,er
EE,ee
SZ,sz
ET,et
FK,fk
FO,fo
FJ,fj
FI,fi
FR,fr
GF,gf
PF,pf
TF,tf
GA,ga
GM,gm
GE,ge
DE,de
GH,gh
GI,gi
GR,gr
GL,gl
GD,gd
GP,gp
GU,gu
GT,gt
GG,gg
GN,gn
GW,gw
GY,gy
HT,ht
HM,hm
VA,va
HN,hn
HK,hk
HU,hu
IS,is
IN,in
ID,id
IR,ir
IQ,iq
IE,ie
IM,im
IL,il
IT,it
JM,jm
JP,jp
JE,je
JO,jo
KZ,kz
KE,ke
KI,ki
KP,kp
KR,kr
KW,kw
KG,kg
LA,la
LV,lv
LB,lb
LS,ls
LR,lr
LY,ly
LI,li
LT,lt
LU,lu
MO,mo
MG,mg
MW,mw
MY,my
MV,mv
ML,ml
MT,mt
MH,mh
MQ,mq
MR,mr
MU,mu
YT,yt
MX,mx
FM,fm
MD,md
MC,mc
MN,mn
ME,me
MS,ms
MA,ma
MZ,mz
MM,mm
NA,na
NR,nr
NP,np
NL,nl
NC,nc
NZ,nz
NI,ni
NE,ne
NG,ng
NU,nu
NF,nf
MK,mk
MP,mp
NO,no
OM,om
PK,pk
PW,pw
PS,ps
PA,pa
PG,pg
PY,py
PE,pe
PH,ph
PN,pn
PL,pl
PT,pt
PR,pr
QA,qa
RE,re
RO,ro
RU,ru
RW,rw
BL,bl
SH,sh
KN,kn
LC,lc
MF,mf
PM,pm
VC,vc
WS,ws
SM,sm
ST,st
SA,sa
SN,sn
RS,rs
SC,sc
SL,sl
SG,sg
SX,sx
SK,sk
SI,si
SB,sb
SO,so
ZA,za
GS,gs
SS,ss
ES,es
LK,lk
SD,sd
SR,sr
SE,se
CH,ch
SY,sy
TW,tw
TJ,tj
TZ,tz
TH,th
TL,tl
TG,tg
TK,tk
TO,to
TT,tt
TN,tn
TR,tr
TM,tm
TC,tc
TV,tv
UG,ug
UA,ua
AE,ae
GB,gb
GB,uk
US,us
UY,uy
UZ,uz
VU,vu
VE,ve
VN,vn
VG,vg
VI,vi
WF,wf
YE,ye
ZM,zm
ZW,zw
